NAME,DP03_0062E,DP03_0119PE,DP03_0009PE,DP05_0001E,DP05_0018E,DP05_0019E,DP05_0077PE,DP05_0003PE
"Iowa County, Iowa",72185,6.0,2.4,16547,42.2,3888,2.8,48.9
"Jackson County, Iowa",71605,6.4,4.7,19429,44.2,4313,0.6,49.5
"Jasper County, Iowa",70128,5.2,4.9,37864,41.4,8382,1.4,47.7
"Jefferson County, Iowa",56824,7.5,5.3,15676,43.5,2684,1.7,48.5
"Johnson County, Iowa",74721,6.1,3.7,154881,30.8,30276,3.6,50.3
"Jones County, Iowa",73071,8.2,2.9,20799,43.0,4344,1.5,47.4
"Keokuk County, Iowa",60856,10.8,3.6,9964,42.8,2262,1.8,48.6
"Kossuth County, Iowa",65656,6.0,2.1,14610,45.0,3251,2.3,49.2
"Lee County, Iowa",59803,8.4,4.0,33175,43.7,7075,3.2,50.0
"Linn County, Iowa",76421,6.4,3.7,229463,38.5,52233,2.8,50.6
"Louisa County, Iowa",80223,6.3,3.8,10710,41.8,2402,15.6,48.8
"Lucas County, Iowa",67921,12.4,3.8,8685,43.3,1998,1.5,48.4
"Lyon County, Iowa",72881,3.1,2.4,12087,38.1,3451,2.7,48.9
"Madison County, Iowa",89542,3.2,2.7,16760,41.0,4175,0.5,49.0
"Mahaska County, Iowa",69019,6.9,3.3,22045,39.1,5262,1.6,48.9
"Marion County, Iowa",78059,4.4,1.9,33551,39.7,7845,1.7,49.8
"Marshall County, Iowa",72785,7.7,4.0,39971,38.7,10127,20.6,49.2
"Mills County, Iowa",87810,2.4,2.8,14563,42.6,3362,1.0,50.3
"Mitchell County, Iowa",68704,5.0,0.9,10548,42.2,2534,0.7,50.3
"Monona County, Iowa",62944,5.8,2.1,8619,44.7,1932,2.0,51.6
"Monroe County, Iowa",72518,4.2,2.9,7546,42.1,1745,0.6,49.7
"Montgomery County, Iowa",63190,9.2,2.6,10254,43.8,2320,0.9,51.0
"Muscatine County, Iowa",69512,9.7,3.7,42735,39.1,10344,13.7,49.8
"O'Brien County, Iowa",68216,9.1,1.2,14103,39.8,3438,2.7,50.1
"Osceola County, Iowa",69138,12.6,4.9,6114,43.5,1436,7.9,47.1
"Page County, Iowa",57752,8.3,5.7,15168,45.0,2908,2.7,47.0
"Palo Alto County, Iowa",68963,9.6,2.7,8902,41.5,2087,1.9,49.8
"Plymouth County, Iowa",81600,4.1,1.9,25699,41.1,6411,4.0,49.1
"Pocahontas County, Iowa",63423,4.9,5.5,7040,43.9,1622,4.0,50.1
"Polk County, Iowa",81621,7.1,4.4,497441,36.2,122384,7.0,50.3
"Pottawattamie County, Iowa",71446,7.1,3.8,93407,40.1,21645,7.5,50.2
"Poweshiek County, Iowa",64837,5.8,4.9,18582,40.8,3619,1.9,51.3
"Ringgold County, Iowa",69821,3.6,2.2,4664,44.6,1081,1.2,50.6
"Sac County, Iowa",70991,4.1,3.4,9759,45.3,2172,3.2,49.1
"Scott County, Iowa",76363,7.8,3.7,174302,39.0,40786,6.1,50.6
"Shelby County, Iowa",67690,8.8,3.3,11757,45.1,2686,2.4,50.5
"Sioux County, Iowa",84736,3.9,2.0,35984,34.0,9874,10.3,49.8
"Story County, Iowa",69006,5.1,5.0,98592,27.0,16200,3.2,47.8
"Tama County, Iowa",67955,11.1,4.0,16982,41.8,4079,8.4,49.4
"Taylor County, Iowa",67279,6.6,3.4,5901,43.6,1386,5.7,50.2
"Union County, Iowa",56813,9.0,4.6,12038,40.6,2858,2.9,51.3
"Van Buren County, Iowa",60183,9.5,4.2,7236,44.8,1681,0.9,48.9
"Wapello County, Iowa",60034,12.6,3.7,35265,39.9,8349,8.1,49.2
"Warren County, Iowa",92990,3.1,3.0,53484,38.7,13172,2.4,50.3
"Washington County, Iowa",71339,6.0,2.5,22539,40.3,5553,5.4,50.3
"Wayne County, Iowa",59118,11.2,2.0,6518,42.0,1714,0.8,49.8
"Webster County, Iowa",68054,6.3,3.8,36848,39.8,7872,3.4,47.7
"Winnebago County, Iowa",63719,7.9,2.8,10648,41.7,2315,4.5,49.2
"Winneshiek County, Iowa",75652,4.7,2.3,19972,42.2,3790,1.4,49.4
"Woodbury County, Iowa",70147,10.4,4.3,105760,36.2,27420,13.1,49.8
"Worth County, Iowa",76875,4.5,3.2,7380,44.3,1520,2.6,48.1
"Wright County, Iowa",64033,13.6,1.7,12817,39.8,3343,14.5,50.1
"Allen County, Kansas",57618,8.9,6.9,12491,41.3,2767,3.1,50.7
"Anderson County, Kansas",64925,8.6,4.1,7819,40.4,2063,1.6,51.9
"Atchison County, Kansas",62164,8.4,4.2,16211,36.4,3582,2.3,51.3
"Barber County, Kansas",57615,11.3,2.3,4153,42.6,1035,5.7,48.1
"Barton County, Kansas",56733,10.9,3.3,25275,38.8,6143,15.4,51.0
"Bourbon County, Kansas",67555,7.7,3.8,14384,38.8,3601,2.4,51.2
"Brown County, Kansas",58886,8.3,5.4,9415,42.0,2380,3.8,50.4
"Butler County, Kansas",80375,6.5,3.1,67916,38.3,16959,3.4,49.2
"Chase County, Kansas",54518,5.5,0.7,2579,44.5,541,6.8,48.4
"Chautauqua County, Kansas",54592,13.0,6.3,3370,45.3,755,3.9,46.8
"Cherokee County, Kansas",58274,7.4,3.6,19236,42.0,4364,1.3,50.6
"Cheyenne County, Kansas",55765,13.6,1.8,2628,39.8,609,7.9,47.6
"Clark County, Kansas",65515,6.5,2.1,1987,46.5,486,6.0,49.2
"Clay County, Kansas",63136,12.0,1.1,8071,43.1,1868,2.2,49.7
"Cloud County, Kansas",57333,5.6,4.2,8973,39.4,2136,3.1,48.6
"Coffey County, Kansas",67377,6.0,6.0,8304,44.0,1789,2.9,50.2
"Comanche County, Kansas",49417,8.8,2.4,1685,50.8,308,1.5,51.5
"Cowley County, Kansas",58263,11.6,5.0,34487,38.1,8165,7.1,49.1
"Crawford County, Kansas",50311,14.2,3.5,38963,33.8,8639,4.8,49.6
"Decatur County, Kansas",52030,7.4,3.7,2746,52.1,547,3.4,47.9
"Dickinson County, Kansas",67982,6.1,2.4,18423,42.1,4216,3.5,50.0
"Doniphan County, Kansas",72833,10.6,1.5,7492,41.3,1525,2.4,48.6
"Douglas County, Kansas",68756,5.6,4.7,119547,31.3,21300,4.7,50.2
"Edwards County, Kansas",53792,12.7,4.7,2817,44.3,653,20.0,47.9
"Elk County, Kansas",56087,14.3,3.5,2464,49.6,572,4.4,49.6
"Ellis County, Kansas",59889,10.4,3.2,28870,32.5,5869,5.4,49.9
"Ellsworth County, Kansas",66792,5.0,2.9,6366,43.7,1122,4.6,44.9
"Finney County, Kansas",72437,9.1,5.4,38001,32.1,11427,43.5,48.6
"Ford County, Kansas",70495,12.5,4.7,34133,31.9,10517,47.0,47.7
"Franklin County, Kansas",72142,7.6,2.4,25994,40.1,6052,3.6,50.1
"Geary County, Kansas",57344,15.6,6.0,35895,27.1,11353,8.2,47.4
"Gove County, Kansas",63203,1.2,3.5,2796,41.7,719,0.4,50.5
"Graham County, Kansas",52909,13.3,4.2,2406,46.1,503,2.2,50.5
"Grant County, Kansas",72484,5.4,2.5,7284,32.9,2231,50.7,44.0
"Gray County, Kansas",77885,5.1,2.1,5696,36.6,1663,14.5,49.4
"Greeley County, Kansas",78819,6.9,0.1,1296,39.9,398,16.7,51.9
"Greenwood County, Kansas",58276,12.4,2.8,5956,48.4,1278,3.1,49.1
"Hamilton County, Kansas",61929,3.1,0.8,2485,36.4,779,34.0,50.1
"Harper County, Kansas",55417,11.0,3.5,5446,40.8,1403,5.3,50.2
"Harvey County, Kansas",73269,4.7,4.2,33823,40.2,8074,10.5,50.7
"Haskell County, Kansas",69138,6.5,4.9,3695,38.0,1004,29.0,50.0
"Hodgeman County, Kansas",63125,4.9,2.8,1676,45.9,412,3.6,52.5
"Jackson County, Kansas",72703,5.0,1.8,13277,41.0,3275,3.1,49.0
"Jefferson County, Kansas",77393,4.0,2.4,18391,43.8,4091,2.7,49.5
"Jewell County, Kansas",52344,7.8,0.4,2909,50.3,622,2.4,48.6
"Johnson County, Kansas",107261,3.4,3.2,614764,38.3,146396,6.2,50.6
"Kearny County, Kansas",74135,4.1,1.3,3910,37.5,1165,31.6,47.9
"Kingman County, Kansas",59819,5.5,3.7,7284,43.4,1599,1.7,49.1
"Kiowa County, Kansas",73214,4.3,3.4,2422,41.2,555,3.0,51.2
"Labette County, Kansas",55439,9.1,2.8,19949,41.4,4874,3.4,49.0
"Lane County, Kansas",53042,6.1,0.5,1497,48.9,352,14.4,48.8
"Leavenworth County, Kansas",86906,6.3,4.3,82493,38.3,19569,4.2,46.7
"Lincoln County, Kansas",53546,7.5,1.7,2924,44.1,621,3.3,49.1
"Linn County, Kansas",59200,7.6,3.7,9723,45.5,2143,2.6,48.4
"Logan County, Kansas",71389,9.7,1.2,2720,41.1,640,5.6,46.8
"Lyon County, Kansas",59078,8.7,2.5,32145,33.1,7171,19.0,51.1
"McPherson County, Kansas",77701,6.2,2.0,30130,39.1,6567,4.0,50.4
"Marion County, Kansas",63438,6.2,3.0,11795,43.7,2504,3.0,49.1
"Marshall County, Kansas",70828,5.3,1.8,10001,42.6,2444,0.7,49.2
"Meade County, Kansas",74868,7.7,1.2,3949,37.5,1051,21.0,49.7
"Miami County, Kansas",88000,4.8,2.8,34625,41.8,8282,3.0,50.1
"Mitchell County, Kansas",58233,7.0,0.9,5767,43.3,1335,1.8,48.4
"Montgomery County, Kansas",53242,12.0,3.9,31143,40.3,7503,5.9,50.4
"Morris County, Kansas",56716,11.3,2.0,5388,48.7,1108,3.2,48.8
"Morton County, Kansas",65625,6.9,3.6,2647,43.7,650,22.4,54.8
"Nemaha County, Kansas",77375,5.0,0.9,10213,40.0,2827,2.0,48.5
"Neosho County, Kansas",55704,11.2,4.6,15715,40.3,3788,4.5,50.3
"Ness County, Kansas",66107,7.5,1.0,2659,46.1,536,14.9,48.3
"Norton County, Kansas",50305,9.0,0.6,5392,40.2,1100,5.4,44.9
"Osage County, Kansas",70216,7.3,2.5,15780,42.8,3681,2.9,49.2
"Osborne County, Kansas",59408,8.1,1.6,3473,46.8,750,1.3,49.8
"Ottawa County, Kansas",76755,9.5,3.2,5782,42.5,1334,2.2,47.6
"Pawnee County, Kansas",63625,1.9,1.2,6220,44.9,895,4.5,45.9
"Phillips County, Kansas",61235,11.3,3.2,4874,44.6,1121,2.5,48.8
"Pottawatomie County, Kansas",87694,4.9,1.9,25808,36.2,7499,4.6,49.9
"Pratt County, Kansas",64348,7.1,3.7,9120,38.2,2281,6.5,49.2
"Rawlins County, Kansas",65000,10.3,1.2,2533,47.0,571,5.4,47.8
"Reno County, Kansas",60498,9.1,3.9,61693,40.7,13731,8.2,49.3
"Republic County, Kansas",53611,6.4,1.0,4662,46.0,1087,1.8,50.7
"Rice County, Kansas",63947,5.1,3.3,9389,39.0,2201,11.3,48.3
"Riley County, Kansas",59560,11.8,4.7,71710,25.2,11642,6.4,46.8
"Rooks County, Kansas",61596,2.7,2.1,4869,46.0,1025,2.9,50.6
"Rush County, Kansas",60288,8.4,5.1,2957,46.0,599,4.0,47.0
"Russell County, Kansas",53902,9.2,1.9,6717,45.3,1490,2.5,49.9
"Saline County, Kansas",63316,8.8,3.6,53801,39.8,12314,9.9,50.4
"Scott County, Kansas",67788,11.1,1.1,5071,39.3,1332,20.2,48.6
"Sedgwick County, Kansas",67675,9.6,5.2,524810,35.9,132179,13.2,50.3
"Seward County, Kansas",62269,10.8,4.2,21640,31.0,6687,58.2,47.5
"Shawnee County, Kansas",66043,8.8,4.2,178315,39.6,41541,11.3,51.3
"Sheridan County, Kansas",70000,9.3,0.6,2442,43.4,622,5.8,49.5
"Sherman County, Kansas",64444,5.5,0.4,5919,38.9,1421,12.4,46.6
"Smith County, Kansas",57024,3.9,1.6,3579,50.0,723,1.0,48.9
"Stafford County, Kansas",63786,6.4,2.6,4004,42.1,979,12.8,48.7
"Stanton County, Kansas",70361,7.6,2.2,2018,36.5,534,45.0,48.8
"Stevens County, Kansas",61909,8.1,4.5,5212,38.0,1507,35.2,45.8
"Sumner County, Kansas",60348,7.6,6.0,22386,41.2,5416,4.9,49.5
"Thomas County, Kansas",73575,4.6,0.1,7913,35.3,1915,7.7,49.2
"Trego County, Kansas",73375,3.7,1.1,2778,47.7,543,0.0,50.6
"Wabaunsee County, Kansas",70536,4.7,4.0,6961,43.2,1596,3.8,48.8
"Wallace County, Kansas",60263,9.6,1.3,1459,47.2,337,5.2,49.6
"Washington County, Kansas",62452,5.4,1.5,5519,43.9,1324,4.3,48.2
"Wichita County, Kansas",71282,8.5,0.5,2115,38.7,549,26.6,45.8
"Wilson County, Kansas",57056,12.1,3.5,8559,42.3,2040,2.6,49.4
"Woodson County, Kansas",48152,8.7,2.5,3118,49.9,592,0.7,49.0
"Wyandotte County, Kansas",60582,13.5,5.4,167277,34.2,46188,27.2,49.7
"Adair County, Kentucky",50316,12.7,7.7,19016,40.1,3781,2.3,49.8
"Allen County, Kentucky",59029,11.2,7.5,21029,40.7,4845,2.1,50.5
"Anderson County, Kentucky",71747,8.8,2.6,24098,42.1,5611,1.1,49.4
"Ballard County, Kentucky",64740,11.4,4.1,7678,44.2,1539,0.5,49.3
"Barren County, Kentucky",49171,16.5,4.8,44670,40.1,10610,2.6,51.3
"Bath County, Kentucky",54128,17.0,4.0,12812,39.0,3268,1.7,49.2
"Bell County, Kentucky",32403,21.2,10.5,23878,41.2,5207,0.1,50.0
"Boone County, Kentucky",94752,4.2,2.8,137676,37.7,35537,3.5,50.1
"Bourbon County, Kentucky",56322,10.4,4.4,20174,42.0,4605,5.3,50.3
"Boyd County, Kentucky",60659,12.4,6.6,48043,42.4,10225,1.1,49.9
"Boyle County, Kentucky",61635,10.6,5.9,30708,39.5,6355,2.9,49.4
"Bracken County, Kentucky",59521,14.7,5.5,8427,42.0,1989,0.3,49.6
"Breathitt County, Kentucky",41101,22.1,9.3,13438,43.0,2806,0.7,49.9
"Breckinridge County, Kentucky",53673,14.9,5.2,20722,42.2,4658,1.2,50.0
"Bullitt County, Kentucky",77640,7.1,4.1,83209,41.3,17834,0.9,50.1
"Butler County, Kentucky",52003,11.9,4.2,12373,41.1,2875,0.7,48.4
"Caldwell County, Kentucky",57618,12.5,2.8,12631,42.3,2903,0.9,50.8
"Calloway County, Kentucky",51854,11.4,4.4,37882,35.4,6905,2.3,51.3
"Campbell County, Kentucky",77271,6.7,3.7,93193,39.0,19356,1.4,50.5
"Carlisle County, Kentucky",62019,11.3,4.2,4763,43.6,1122,2.5,49.1
"Carroll County, Kentucky",57753,17.0,6.9,10878,38.5,2887,5.6,49.7
"Carter County, Kentucky",50389,16.4,4.1,26515,41.8,5935,0.7,50.7
"Casey County, Kentucky",41689,18.9,8.9,15951,41.5,3743,2.9,51.5
"Christian County, Kentucky",54190,13.0,7.8,72599,28.6,20345,5.6,47.5
"Clark County, Kentucky",67824,7.5,4.8,37004,40.8,8347,2.7,51.5
"Clay County, Kentucky",39607,27.3,10.2,20105,40.6,4180,0.2,47.6
"Clinton County, Kentucky",42168,14.2,5.6,9240,42.5,1980,1.9,50.6
"Crittenden County, Kentucky",47003,13.3,3.4,8972,42.8,2014,1.3,48.4
"Cumberland County, Kentucky",39662,28.6,3.0,5948,45.1,1307,0.8,50.6
"Daviess County, Kentucky",65323,11.9,4.4,103195,38.7,25360,2.5,51.1
"Edmonson County, Kentucky",54512,12.2,6.8,12243,45.3,2313,0.8,50.7
"Elliott County, Kentucky",40074,19.2,6.7,7336,44.4,1220,0.1,42.5
"Estill County, Kentucky",43905,16.8,7.2,14079,44.3,3002,0.1,50.2
"Fayette County, Kentucky",67631,9.4,5.0,321122,35.2,67742,5.9,50.8
"Fleming County, Kentucky",49663,18.7,6.9,15221,41.0,3668,1.5,50.3
"Floyd County, Kentucky",41582,20.8,7.1,35342,43.1,7806,0.3,50.8
"Franklin County, Kentucky",66470,10.5,5.6,51563,40.6,10839,1.6,51.6
"Fulton County, Kentucky",36834,18.9,7.3,6440,41.2,1401,0.9,48.7
"Gallatin County, Kentucky",62247,12.3,3.5,8749,39.7,1959,3.5,48.7
"Garrard County, Kentucky",62572,13.7,6.1,17346,42.9,3802,1.3,51.0
"Grant County, Kentucky",67940,9.1,4.7,25238,36.4,6744,1.6,49.4
"Graves County, Kentucky",50576,15.6,4.0,36612,40.0,8884,6.5,50.5
"Grayson County, Kentucky",49893,12.5,5.1,26586,40.3,6292,0.9,49.5
"Green County, Kentucky",41087,16.4,8.5,11278,45.2,2362,0.0,49.7
"Greenup County, Kentucky",59613,11.2,5.8,35639,43.9,7646,0.9,51.0
"Hancock County, Kentucky",66836,14.5,3.9,9032,41.5,2194,0.6,50.0
"Hardin County, Kentucky",67608,8.1,6.7,111452,37.4,27643,2.6,50.4
"Harlan County, Kentucky",37198,22.2,11.0,26185,41.2,6181,0.1,51.8
"Harrison County, Kentucky",63205,12.6,2.9,18971,42.4,4398,1.3,51.3
"Hart County, Kentucky",49653,15.0,4.5,19470,40.6,4755,1.3,50.5
"Henderson County, Kentucky",58239,13.0,3.0,44493,41.0,10127,2.1,51.2
"Henry County, Kentucky",60736,10.3,3.9,15774,41.6,3712,3.1,49.9
"Hickman County, Kentucky",63750,14.7,4.0,4470,46.4,889,1.8,51.5
"Hopkins County, Kentucky",57610,12.9,6.4,45143,41.3,10427,1.7,51.5
"Jackson County, Kentucky",41410,16.7,5.8,13003,40.6,3038,0.9,50.8
"Jefferson County, Kentucky",67849,10.6,4.8,777392,38.4,173094,2.6,51.4
"Jessamine County, Kentucky",74886,8.4,3.2,53792,38.7,12825,2.4,51.2
"Johnson County, Kentucky",43014,16.9,4.7,22464,42.0,5001,0.2,50.2
"Kenton County, Kentucky",79421,7.8,3.8,169817,37.8,39989,1.6,50.2
"Knott County, Kentucky",37736,21.6,11.6,14046,44.4,2840,0.3,50.3
"Knox County, Kentucky",33153,31.7,7.9,30034,39.8,7084,0.8,51.5
"Larue County, Kentucky",67770,15.8,1.8,15028,41.3,3404,2.0,50.5
"Laurel County, Kentucky",56999,17.4,3.6,62731,39.9,14339,0.9,50.6
"Lawrence County, Kentucky",45584,18.2,6.0,16171,42.0,3840,0.6,50.9
"Lee County, Kentucky",34182,21.2,7.1,7375,43.4,1381,0.7,42.9
"Leslie County, Kentucky",40176,18.0,7.4,10261,42.2,2194,0.5,50.1
"Letcher County, Kentucky",40501,21.5,5.8,21146,43.3,4578,0.1,50.1
"Lewis County, Kentucky",41632,16.6,7.6,13028,42.1,3030,0.0,50.2
"Lincoln County, Kentucky",50862,13.6,7.6,24415,41.9,5765,1.6,50.9
"Livingston County, Kentucky",59713,13.4,4.7,8941,45.7,1917,1.6,50.5
"Logan County, Kentucky",61535,8.9,4.8,27731,40.6,6665,2.1,50.8
"Lyon County, Kentucky",64464,9.4,3.5,8831,47.8,1221,0.2,43.0
"McCracken County, Kentucky",62385,10.9,3.1,67584,42.4,14847,1.9,51.8
"McCreary County, Kentucky",37355,30.7,2.3,16905,38.7,3692,0.4,45.5
"McLean County, Kentucky",70549,6.9,6.6,9127,43.2,2111,1.6,49.5
"Madison County, Kentucky",62407,12.2,5.3,94064,34.7,19906,2.1,51.1
"Magoffin County, Kentucky",33632,28.2,12.4,11495,41.9,2597,0.9,49.4
"Marion County, Kentucky",55404,14.1,5.5,19680,39.6,4729,2.3,50.3
"Marshall County, Kentucky",63611,8.5,3.7,31728,44.9,6472,1.1,50.2
"Martin County, Kentucky",46185,23.5,5.9,11181,40.3,2170,0.2,44.1
"Mason County, Kentucky",51473,13.8,4.8,16995,42.3,3875,0.9,50.8
"Meade County, Kentucky",70163,11.6,3.7,30032,39.3,6663,1.2,49.5
"Menifee County, Kentucky",44672,21.7,4.9,6203,45.1,1304,1.3,47.7
"Mercer County, Kentucky",63115,7.2,2.9,22824,42.8,5067,2.3,50.0
"Metcalfe County, Kentucky",48572,16.5,5.4,10372,41.9,2458,1.2,50.2
"Monroe County, Kentucky",49430,19.9,4.2,11318,41.3,2664,3.7,49.8
"Montgomery County, Kentucky",57468,11.7,4.1,28271,40.6,6608,2.7,51.5
"Morgan County, Kentucky",47493,14.0,3.9,13938,41.8,2766,0.9,42.3
"Muhlenberg County, Kentucky",52672,12.9,4.1,30712,42.8,6486,1.4,49.0
"Nelson County, Kentucky",67888,7.5,3.1,47102,39.7,11030,1.8,49.9
"Nicholas County, Kentucky",53616,16.1,7.2,7655,38.9,1854,0.7,49.7
"Ohio County, Kentucky",54369,9.4,5.2,23704,40.9,5695,2.3,50.4
"Oldham County, Kentucky",121491,2.7,3.3,68600,39.7,17238,3.3,47.6
"Owen County, Kentucky",59706,12.9,5.2,11270,42.5,2490,0.3,48.7
"Owsley County, Kentucky",31064,24.0,11.3,4021,47.9,757,0.0,48.9
"Pendleton County, Kentucky",66601,9.2,4.9,14683,41.7,3397,1.0,48.7
"Perry County, Kentucky",45261,22.8,5.9,27847,41.4,6505,0.0,50.6
"Pike County, Kentucky",42179,19.3,6.2,57466,42.9,11793,0.8,50.6
"Powell County, Kentucky",39811,16.3,7.1,13057,39.3,3210,0.3,49.6
"Pulaski County, Kentucky",50943,16.5,5.2,65503,42.2,14466,1.8,50.8
"Robertson County, Kentucky",52337,19.2,8.6,2239,39.7,626,0.4,58.2
"Rockcastle County, Kentucky",48367,19.6,6.1,16144,42.8,3462,0.9,50.6
"Rowan County, Kentucky",53657,16.1,4.3,24525,31.2,4802,1.5,51.6
"Russell County, Kentucky",50520,17.8,6.0,18117,42.2,4178,3.6,50.7
"Scott County, Kentucky",83660,8.3,4.0,58269,36.4,14408,3.5,50.6
"Shelby County, Kentucky",82671,5.6,2.8,48599,40.9,10882,5.4,50.7
"Simpson County, Kentucky",57392,10.6,3.9,19786,39.0,4652,2.2,50.1
"Spencer County, Kentucky",98333,3.1,5.9,19875,43.3,4499,1.4,49.6
"Taylor County, Kentucky",61871,9.7,5.0,26205,37.7,5989,1.2,50.8
"Todd County, Kentucky",57759,13.2,3.4,12330,36.3,3326,3.4,49.4
"Trigg County, Kentucky",54630,16.1,4.1,14211,46.6,3094,1.6,50.2
"Trimble County, Kentucky",67813,7.3,7.8,8531,40.9,1882,0.9,50.2
"Union County, Kentucky",60989,10.6,3.1,13379,41.3,2595,0.5,49.4
"Warren County, Kentucky",64801,10.7,4.5,137549,33.4,32275,4.0,50.7
"Washington County, Kentucky",59762,8.1,4.2,12091,42.2,2804,0.5,50.6
"Wayne County, Kentucky",41933,17.0,4.9,19592,43.4,4045,1.5,50.9
"Webster County, Kentucky",58786,11.2,5.4,12873,39.6,3068,1.5,50.0
"Whitley County, Kentucky",41719,19.2,5.2,36755,35.4,9578,1.0,50.8
"Wolfe County, Kentucky",29052,32.6,15.8,6484,41.5,1472,0.0,50.3
"Woodford County, Kentucky",80006,5.9,3.5,27017,42.3,5919,4.9,52.5
"Acadia Parish, Louisiana",45266,19.7,7.8,57218,37.0,14863,2.1,51.2
"Allen Parish, Louisiana",51138,17.7,13.7,22552,38.9,4768,2.6,41.3
"Ascension Parish, Louisiana",92266,7.9,4.5,128593,36.4,34229,3.3,50.6
"Assumption Parish, Louisiana",52546,7.7,4.9,20720,42.0,4308,1.7,52.3
"Avoyelles Parish, Louisiana",39439,22.5,6.8,39176,38.2,9377,2.4,50.0
"Beauregard Parish, Louisiana",64995,11.5,7.5,36646,36.9,9275,2.3,48.7
"Bienville Parish, Louisiana",34992,24.3,6.3,12769,42.5,2899,1.5,52.2
"Bossier Parish, Louisiana",66336,11.2,5.6,129134,36.2,32122,5.0,50.3
"Caddo Parish, Louisiana",50067,17.4,8.4,232973,39.2,55116,2.3,52.6
"Calcasieu Parish, Louisiana",67849,12.9,5.5,208668,37.2,52375,2.3,51.0
"Caldwell Parish, Louisiana",44957,16.2,9.9,9563,40.7,2115,2.2,46.8
"Cameron Parish, Louisiana",72500,4.5,0.9,5222,43.0,1255,0.0,49.1
"Catahoula Parish, Louisiana",47753,21.8,6.3,8738,38.8,1959,0.3,46.9
"Claiborne Parish, Louisiana",31784,24.0,4.9,14019,41.9,2744,2.6,46.0
"Concordia Parish, Louisiana",37349,27.1,11.7,18325,37.7,4327,0.9,50.2
"De Soto Parish, Louisiana",46077,17.0,6.1,26897,40.1,6444,1.3,51.5
"East Baton Rouge Parish, Louisiana",63075,13.3,7.6,452821,34.2,102834,1.4,52.2
"East Carroll Parish, Louisiana",28321,29.9,12.6,7195,35.7,1416,0.4,42.4
"East Feliciana Parish, Louisiana",72899,7.8,6.0,19378,44.6,3348,0.3,44.6
"Evangeline Parish, Louisiana",42273,19.3,10.9,32162,37.7,8123,1.2,49.4
"Franklin Parish, Louisiana",44103,19.0,9.8,19590,39.1,4868,0.4,52.2
"Grant Parish, Louisiana",61112,12.2,4.5,22123,38.5,4656,1.8,43.6
"Iberia Parish, Louisiana",57811,17.1,6.1,69194,37.8,17726,2.0,50.6
"Iberville Parish, Louisiana",57459,11.6,6.1,29950,40.3,6271,1.2,49.3
"Jackson Parish, Louisiana",43345,19.6,5.8,14939,41.5,3198,1.5,49.2
"Jefferson Parish, Louisiana",65246,12.8,5.9,432484,39.9,96990,2.5,51.4
"Jefferson Davis Parish, Louisiana",56500,15.8,4.7,32083,37.4,8068,1.2,50.7
"Lafayette Parish, Louisiana",67660,12.6,5.0,245075,36.4,59295,2.0,51.1
"Lafourche Parish, Louisiana",63439,13.5,5.5,96670,39.0,22223,3.0,50.7
"LaSalle Parish, Louisiana",67077,11.3,7.6,14804,38.6,3200,4.2,45.1
"Lincoln Parish, Louisiana",38035,20.0,4.1,48160,28.6,9540,2.7,50.8
"Livingston Parish, Louisiana",78617,10.4,4.1,145583,36.4,37603,1.9,50.6
"Madison Parish, Louisiana",37267,27.9,5.1,9757,34.6,2534,0.4,51.2
"Morehouse Parish, Louisiana",36981,23.5,9.9,24967,40.3,5818,0.6,51.1
"Natchitoches Parish, Louisiana",46798,15.0,6.2,37047,33.3,8562,2.2,52.0
"Orleans Parish, Louisiana",55339,16.3,7.8,376035,38.4,74421,1.5,52.9
"Ouachita Parish, Louisiana",51241,18.8,6.6,158916,36.6,39299,2.0,51.9
"Plaquemines Parish, Louisiana",82874,10.2,4.5,23070,36.8,5764,4.0,47.8
"Pointe Coupee Parish, Louisiana",59351,12.8,8.4,20438,43.2,4399,1.7,50.7
"Rapides Parish, Louisiana",55946,15.0,4.9,128470,37.8,32231,2.4,51.5
"Red River Parish, Louisiana",44539,14.9,3.2,7529,40.4,1785,1.5,50.0
"Richland Parish, Louisiana",52960,18.6,8.4,19908,39.8,4728,1.0,50.5
"Sabine Parish, Louisiana",52047,16.5,6.5,22085,41.3,5144,1.4,50.4
"St. Bernard Parish, Louisiana",57638,18.5,7.4,44172,35.8,11596,1.4,51.0
"St. Charles Parish, Louisiana",82172,7.5,6.3,51863,39.1,12624,2.1,50.2
"St. Helena Parish, Louisiana",50193,23.5,21.3,10849,42.4,2207,0.3,51.5
"St. James Parish, Louisiana",64536,7.0,5.4,19797,40.8,4431,1.0,51.8
"St. John the Baptist Parish, Louisiana",67418,8.2,9.0,41342,38.5,10033,1.1,50.6
"St. Landry Parish, Louisiana",45637,20.1,5.6,82128,37.5,21908,1.1,51.5
"St. Martin Parish, Louisiana",53394,11.4,5.1,51559,39.7,12427,1.7,50.9
"St. Mary Parish, Louisiana",51768,18.6,5.4,48455,39.7,11799,4.3,51.0
"St. Tammany Parish, Louisiana",79277,9.5,4.8,269331,40.4,64057,2.0,51.0
"Tangipahoa Parish, Louisiana",57256,13.7,5.3,135218,35.7,33216,2.2,51.2
"Tensas Parish, Louisiana",36074,24.7,13.3,3992,47.4,862,2.4,51.8
"Terrebonne Parish, Louisiana",64819,13.2,4.7,107362,37.3,27168,3.2,50.5
